equipment,manufacturer,area_m2,capacity_kw
Chiller (air-cooled),Daikin,11.8413,640.0
Chiller (air-cooled),Daikin,11.596,700.0
Chiller (air-cooled),Daikin,12.3096,761.0
Chiller (air-cooled),Daikin,12.78682,817.0
Chiller (air-cooled),Daikin,13.00982,886.0
Chiller (air-cooled),Daikin,16.502,988.0
Chiller (air-cooled),Daikin,18.4421,1057.0
Chiller (air-cooled),Daikin,18.4421,1109.0
Chiller (air-cooled),Daikin,20.516,1166.0
Chiller (air-cooled),Daikin,20.516,1226.0
Chiller (air-cooled),Daikin,20.516,1322.0
Chiller (air-cooled),Daikin,24.53,1520.0
Chiller (air-cooled),Daikin,26.537,1641.0
Chiller (air-cooled),Daikin,26.537,1772.0
Chiller (air-cooled),Vertiv,25.606,1357.0
Chiller (air-cooled),Vertiv,28.6504,1512.0
Chiller (air-cooled),Vertiv,31.6004,1608.0
Chiller (air-cooled),Vertiv,31.6004,1677.0
Chiller (air-cooled),Schneider Electric,11.891000000000002,597.0
Chiller (air-cooled),Schneider Electric,15.037,742.1
Chiller (air-cooled),Schneider Electric,20.042,1138.6
Chiller (air-cooled),Schneider Electric,20.042,1270.2
Chiller (air-cooled),Schneider Electric,26.3318,1846.7
Chiller (air-cooled),Schneider Electric,29.502,2053.2
Chiller (water-cooled),Airedale,12.045,3000.0
Chiller (air-cooled),Airedale,18.628200000000003,1111.0
Chiller (air-cooled),Carrier,27.368599999999997,2100.0
Chiller (air-cooled),Carrier,19.9106,1400.0
Chiller (air-cooled),Carrier,12.4526,800.0
Chiller (water-cooled),Carrier,13.3584,3850.0
Chiller (water-cooled),Carrier,11.5874,1050.0
Chiller (air-cooled),Daikin,28.112399999999997,2058.0
Chiller (air-cooled),Daikin,15.800399999999998,1030.0
Chiller (water-cooled),Johnson Controls,30.81,10550.0
Chiller (water-cooled),Johnson Controls,8.582699999999999,2000.0
Chiller (water-cooled),Johnson Controls,5.733999999999999,800.0
Chiller (water-cooled),Johnson Controls,12.1068,2000.0
Chiller (water-cooled),Schneider Electric,5.8259,1139.8
Chiller (air-cooled),Schneider Electric,29.502,2053.2
Chiller (air-cooled),Schneider Electric,26.334000000000003,1846.7
Chiller (air-cooled),Schneider Electric,20.042,1270.2
Chiller (air-cooled),Schneider Electric,20.042,1138.6
Chiller (water-cooled),Stulz,2.475465,378.0
Chiller (water-cooled),Stulz,3.63489,769.0
Chiller (water-cooled),Stulz,5.65157,1135.0
Chiller (water-cooled),Stulz,6.24616,1513.0
Chiller (air-cooled),Trane,35.056000000000004,1934.0
Chiller (air-cooled),Trane,21.728,1055.0
Chiller (water-cooled),Trane,32.0814,14065.0
Chiller (water-cooled),Trane,15.9135,4571.0
Chiller (water-cooled),Trane,6.0025,703.0
Chiller (water-cooled),Vertiv,15.842599999999996,2100.0
Chiller (air-cooled),General Air Products,1.4136000000000002,48.18
Chiller (air-cooled),General Air Products,1.9661999999999995,55.56
Chiller (air-cooled),General Air Products,4.1125,104.1
Chiller (air-cooled),General Air Products,4.1125,138.92
Chiller (air-cooled),General Air Products,4.425,169.16
Chiller (water-cooled),Trane,28.365,14067.4
Chiller (water-cooled),Carrier,11.9394,2461.9
Chiller (water-cooled),Carrier,8.7864,1934.35
Chiller (water-cooled),Vertiv,8.914200000000001,1453.0
Chiller (water-cooled),Vertiv,8.914200000000001,2125.0
Chiller (water-cooled),Daikin,9.4802,1797.0
Chiller (water-cooled),Daikin,4.9648,341.0
Chiller (water-cooled),Schneider Electric,2.80104,320.0
Chiller (water-cooled),Schneider Electric,3.00468,630.0
Chiller (water-cooled),Schneider Electric,5.085936,950.0
Chiller (water-cooled),Schneider Electric,6.9094549999999995,1250.0
Chiller (air-cooled),Dunham Bush,11.322599999999998,511.0
Chiller (air-cooled),Dunham Bush,21.718599999999995,1039.0
Chiller (air-cooled),Blue Star,1.63866,35.17
Chiller (air-cooled),Blue Star,5.9159999999999995,168.8
Chiller (air-cooled),Blue Star,5.9159999999999995,281.4
Chiller (air-cooled),Aermec,3.311,97.0
Chiller (water-cooled),Voltas,7.291943999999999,408.4
Chiller (air-cooled),Clivet,2.369,40.0
Chiller (air-cooled),Hitachi,4.085,112.0
Chiller (air-cooled),LG,1.64781,65.0
Chiller (air-cooled),LG,3.291312,130.0
Chiller (air-cooled),LG,4.934813999999999,195.0
Chiller (air-cooled),Toshiba,3.672,85.0
Chiller (air-cooled),Gree,2.04,65.0
Chiller (air-cooled),Midea,8.119,340.0
Chiller (air-cooled),McQuay,11.8413,640.0
Chiller (water-cooled),Midea,16.6635,6329.0
Chiller (water-cooled),Midea,14.013000000000002,4922.0
Chiller (water-cooled),Midea,16.6635,5626.0
Chiller (water-cooled),TICA,14.3752,6329.0
Chiller (water-cooled),TICA,16.5323,6680.0
Chiller (water-cooled),TICA,14.3752,6329.0
Chiller (water-cooled),TICA,17.5989,6680.0
Chiller (water-cooled),Thermax,21.7455,5066.0
Chiller (water-cooled),Thermax,24.8994,6191.0
Chiller (water-cooled),Thermax,29.737499999999997,7434.0
Chiller (water-cooled),Thermax,35.099999999999994,9955.0
Chiller (water-cooled),Midea,15.932,5626.0
Chiller (water-cooled),Midea,18.2385,5977.0
Chiller (water-cooled),Mitsubishi Heavy Industries,26.880000000000003,7033.0
Chiller (water-cooled),Mitsubishi Heavy Industries,24.32,6329.0
Chiller (water-cooled),Johnson Controls,36.959999999999994,7034.0
Chiller (air-cooled),Trane,52.02936,2637.6396315
Chiller (air-cooled),Trane,18.451575999999996,879.21321052
Chiller (air-cooled),Trane,27.138010239999996,1230.9
Chiller (air-cooled),Trane,35.42702592,1758.43
Chiller (air-cooled),Carrier,34.729552000000005,1761.9432738921
Chiller (air-cooled),Daikin,29.89968,1953.66
Chiller (air-cooled),Emicon,24.770999999999997,1728.6
Chiller (air-cooled),Emicon,30.359999999999996,1837.7
Chiller (air-cooled),Emicon,22.54,1449.0
Chiller (air-cooled),Vertiv,31.617732,2025.0
Chiller (air-cooled),Vertiv,31.617732,1987.0
Chiller (air-cooled),Vertiv,31.617732,1957.0
Chiller (air-cooled),Vertiv,37.9431,3100.0
Chiller (air-cooled),Vertiv,31.9741,2700.0
Chiller (air-cooled),Vertiv,26.0051,2110.0
Chiller (air-cooled),Vertiv,23.0206,1540.0
Chiller (air-cooled),Airedale,35.65540000000001,1850.0
Chiller (air-cooled),Airedale,31.647,1600.0
Chiller (air-cooled),Airedale,23.210000000000004,985.0
Chiller (air-cooled),Airedale,0.0,1758.5
