region,stated_share_pct,implied_share_mean_pct,implied_share_min_pct,implied_share_max_pct,dates_checked,spread_all_dates_pp,spread_where_base_over_10T_pp,dates_over_10T,rounding_tolerance_pp
United States,47.0000,46.6119,40.0000,48.2759,18,8.2759,0.3152,12,0.2732
Europe,18.0000,18.1250,17.2414,20.0000,18,2.7586,0.1487,12,0.2732
Asia ex-China,13.0000,13.3124,11.5385,20.0000,18,8.4615,0.2392,12,0.2732
Rest of world,22.0000,21.9507,20.0000,23.5294,18,3.5294,0.2121,12,0.2732
