quarter,quarter_index,start_date,end_date,logic_supply_wafers_p5,logic_supply_wafers_p50,logic_supply_wafers_p95,cowos_supply_wafers_p5,cowos_supply_wafers_p50,cowos_supply_wafers_p95,hbm_supply_usd_p5,hbm_supply_usd_p50,hbm_supply_usd_p95
Q1 2024,0,2024-01-01,2024-03-31,453416.8308,465976.1905,489136.9969,51000,58500,66000,2250000000,2500000000,2750000000
Q2 2024,1,2024-01-01,2024-06-30,1003515.339,1032055.556,1087828.947,117000,135000,153000,5400000000,6000000000,6600000000
Q3 2024,2,2024-01-01,2024-09-30,1611685.899,1658571.429,1754512.384,207000,234000,261000,9828000000,10920000000,12012000000
Q4 2024,3,2024-01-01,2024-12-31,2423309.879,2495142.857,2647511.61,312000,351000,390000,16542000000,18380000000,20218000000
Q1 2025,4,2024-01-01,2025-03-31,3162915.846,3257047.619,3458196.594,428250,475687.5,523125,22374000000,24860000000,27346000000
Q2 2025,5,2024-01-01,2025-06-30,4063076.274,4184420.635,4445383.127,567000,624750,682500,29448000000,32720000000,35992000000
Q3 2025,6,2024-01-01,2025-09-30,5087143.259,5239285.714,5567321.981,728250,798187.5,868125,37971000000,42190000000,46409000000
Q4 2025,7,2024-01-01,2025-12-31,6139659.443,6324309.524,6726466.718,912000,996000,1080000,48231000000,53590000000,58949000000
