focus_class,sites,sites_with_mw,megawatts
Training & inference,79,71,30687.0
Training,43,40,23120.0
Inference,69,69,10718.0
HPC,16,12,1299.3
General cloud,68,48,35103.5
AI (unspecified),41,30,10623.0
Unknown,30,24,5628.0
