company,metric,n,oom_per_year,intercept_log10,growth_per_year,doubling_time_months,r_squared,x_min,x_max,y_min_log10,y_max_log10
Anthropic,revenue_usd,15,1.0392963014312926,-2095.4998667022987,10.947029827956833,3.4757748516885165,0.9841669021593638,2023.7474332648871,2026.577686516085,7.939519252618618,10.812913356642856
OpenAI,revenue_usd,16,0.5890229413035455,-1183.0253321822222,3.881708703049657,6.132800090898652,0.9663268879279683,2023.1615331964408,2026.6132785763175,8.301029995663981,10.602059991327963
OpenAI,staff_count,12,0.20888073256892384,-419.7148735799597,1.6176357359979032,17.29388777768583,0.9564697766703207,2016.9993155373031,2026.2162902121834,1.7160033436347992,3.6532125137753435
OpenAI,active_users,14,0.4599793670718378,-922.9597870056245,2.8838944887186737,7.853308662437483,0.8729692157001182,2023.2272416153319,2026.1587953456537,7.698970004336019,8.963787827345556
