organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
ASUSTeK,ESC8000_E12P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,8,48613.8,6076.73,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,10,60679.9,6067.99,available
Cisco,Cisco UCS X210 M8 - X580P PCIe Node (4x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Offline,4,24216.6,6054.15,available
Cisco,Cisco UCS X215c M8 - X580P PCIe Node (4x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,4,24013.5,6003.38,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,4,23556.7,5889.18,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Offline,4,23265.7,5816.43,available
HPE,HPE ProLiant DL145 Gen11 (1x NVIDIA RTX PRO 4500 Blackwell TensorRT),NVIDIA RTX PRO 4500 Blackwell,NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Offline,1,2340.75,2340.75,available
HPE,HPE ProLiant Compute DL380 Gen12 (5x NVIDIA RTX PRO 4500 Blackwell TensorRT),NVIDIA RTX PRO 4500 Blackwell,NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Offline,5,11665,2333,available
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama3.1-8b,Offline,4,6762.3,1690.58,available
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,llama3.1-8b,Offline,4,4617.4,1154.35,preview
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,llama3.1-8b,Offline,4,3347.43,836.857,available
Intel,1-node-4x-BMG-B50,Intel Arc Pro B50,Intel(R) Arc Pro(R) B50,,,-1,llama3.1-8b,Offline,4,1721.84,430.46,available
ASUSTeK,XA NB3I-E12,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Server,8,148067,18508.4,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Server,8,141565,17695.6,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama3.1-8b,Server,8,141484,17685.5,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Server,8,131270,16408.8,available
Lambda_SIT,NVIDIA DGX B200 (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama3.1-8b,Server,8,130008,16251,available
Cisco,Cisco UCS X210 M8 - X580P PCIe Node (4x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Server,4,25731.6,6432.9,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,8,48794.3,6099.29,available
ASUSTeK,ESC8000A_E13P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,8,48531.3,6066.41,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,10,59632.7,5963.27,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,2,11899.7,5949.85,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,2,11898.8,5949.4,available
ASUSTeK,ESC8000_E12P_RTX_PRO_6000_PCIE_96GBx8,NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,8,47581,5947.62,available
Cisco,Cisco UCS X215c M8 - X580P PCIe Node (4x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,4,23423.9,5855.98,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,4,23227.2,5806.8,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,4,22916.3,5729.07,available
Dell,PowerEdge XE7740 (8x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama3.1-8b,Server,8,45075.8,5634.48,available
Dell,PowerEdge XE7745 (8x RTXPro6000-PCIe-96GB TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,llama3.1-8b,Server,8,45008.6,5626.07,available
HPE,HPE ProLiant Compute DL380 Gen12 (5x NVIDIA RTX PRO 4500 Blackwell TensorRT),NVIDIA RTX PRO 4500 Blackwell,NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Server,5,11352.1,2270.42,available
HPE,HPE ProLiant DL145 Gen11 (1x NVIDIA RTX PRO 4500 Blackwell TensorRT),NVIDIA RTX PRO 4500 Blackwell,NVIDIA RTX PRO 4500 Blackwell,,,-1,llama3.1-8b,Server,1,2081.34,2081.34,available
Intel,1-node-4x-BMG-Pro-B60-Dual,MS-Intel Arc Pro B60 Dual 48G Turbo,MS-Intel Arc Pro B60 Dual 48G Turbo,,,-1,llama3.1-8b,Server,4,6293.89,1573.47,available
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,llama3.1-8b,Server,4,4170.13,1042.53,preview
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,llama3.1-8b,Server,4,3145.22,786.305,available
Intel,1-node-4x-BMG-B50,Intel Arc Pro B50,Intel(R) Arc Pro(R) B50,,,-1,llama3.1-8b,Server,4,1187.13,296.783,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,mixtral-8x7b,Offline,8,126468,15808.5,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Offline,8,33637.3,4204.66,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Offline,10,41242.4,4124.24,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Offline,2,8198.25,4099.12,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Offline,4,14828.3,3707.07,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,mixtral-8x7b,Server,8,127209,15901.1,available
HPE,HPE ProLiant Compute DL380a Gen12 (8x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Server,8,32151,4018.88,available
HPE,HPE ProLiant Compute DL380a Gen12 (10x NVIDIA RTX PRO 6000 Blackwell Server Edition TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Server,10,39234.1,3923.41,available
HPE,HPE ProLiant DL385 Gen11 (2x NVIDIA RTX PRO 6000 Blackwell Server Edition-600W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Server,2,7742.84,3871.42,available
HPE,HPE ProLiant DL385 Gen11 (4x NVIDIA RTX PRO 6000 Blackwell Server Edition-450W TensorRT),NVIDIA RTX PRO 6000 Blackwell Server Edition,NVIDIA RTX PRO 6000 Blackwell Server Edition,,,-1,mixtral-8x7b,Server,4,13846.1,3461.53,available
