organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,8,100310,12538.8,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,8,100019,12502.4,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,8,100008,12501,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,8,99874.3,12484.3,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99.9,Offline,72,888054,12334.1,available
Dell_MangoBoost,PowerEdge XE9785,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Offline,8,97535.1,12191.9,available
AMD,AMD MI355X Custom Cluster,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (x87),AMD,MI355X,4,llama2-70b-99.9,Offline,88,1.04211e+06,11842.2,available
Dell_MangoBoost,PowerEdge XE9785 (MI355X Power Cap 1000W),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (Power Cap 1000 W),AMD,MI355X,4,llama2-70b-99.9,Offline,8,81870.5,10233.8,available
MiTAC,G8825Z5,AMD Instinct MI350X 288GB HBM3e,AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99.9,Offline,8,78988.6,9873.58,available
MangoBoost,MangoBoost Mi325X (8x MI325X LLMBoost),AMD Instinct MI325X 256GB HBM3e,AMD Instinct MI325X 256GB HBM3e,AMD,MI325X,2,llama2-70b-99.9,Offline,8,33880.4,4235.05,available
Dell,PowerEdge XE7740 (8x H200-NVL-141GB TensorRT),NVIDIA H200-NVL-141GB,NVIDIA H200-NVL-141GB,NVIDIA,H200,1,llama2-70b-99.9,Offline,8,32004,4000.5,available
