trace,service,release,requests,input_tokens,output_tokens,total_tokens,output_share,window_start,window_end,window_minutes,input_median,input_p90,input_max,output_median,output_p90,output_max
conv_2023,conversation,2023,19366,22361870,4088665,26450535,0.154578,2023-11-16T18:15:46.680590,2023-11-16T19:14:08.402527,58.4,1020.0,2734.5,14050,129.0,424.0,1000
code_2023,code,2023,8819,18059974,245896,18305870,0.013433,2023-11-16T18:17:03.979960,2023-11-16T19:14:19.928016,57.3,1469.0,5187.5999999999985,7437,13.0,55.0,1899
conv_2024,conversation,2024,27303999,44548646118,2880822750,47429468868,0.060739,2024-05-12T00:00:00.001163+00:00,2024-05-18T23:59:59.995460+00:00,10080.0,928.0,3830.0,7999,41.0,342.0,1500
code_2024,code,2024,16803695,42198710773,381271302,42579982075,0.008954,2024-05-10T00:00:00.009930+00:00,2024-05-16T23:59:59.929501+00:00,10080.0,1930.0,6251.0,7743,8.0,43.0,5000
multimodal_2025,multimodal,2025,1000000,2910954494,186631667,3097586161,0.060251,2024-10-15T12:00:00.269000+00:00,2024-10-22T11:59:59.964000+00:00,10080.0,1124.0,5828.0,148569,98.0,433.0,16384
combined_2023,combined,2023,28185,40421844,4334561,44756405,0.096848,2023-11-16T18:15:46.680590,2023-11-16T19:14:19.928016,58.4,,,14050,,,1899
combined_2024,combined,2024,44107694,86747356891,3262094052,90009450943,0.036242,2024-05-10T00:00:00.009930+00:00,2024-05-18T23:59:59.995460+00:00,10080.0,,,7999,,,5000
